place_id,menu_name,menu_tag,description,price,price_raw
1baf3b21-ff47-5b88-989d-ab78b847fe16,리뷰 469,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 510m,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이전,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,현재,사진,,1,1
1baf3b21-ff47-5b88-989d-ab78b847fe16,전체,,,4,4
1baf3b21-ff47-5b88-989d-ab78b847fe16,다음,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,함께 가볼만한 맛집,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,플레이스 플러스,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,할매솥뚜껑삼겹살 풍암점,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"흑돼지 1인분 8,900원",,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"육류,고기요리광주광역시 서구 풍암2로57번길 7 1층",,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,리뷰 981,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 1.8km,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,광고,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,오블로,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,상무지구 핫플 브런치 파스타,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,양식광주광역시 서구 상무대로695번길 14 1층,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"리뷰 5,382",,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 3.1km,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,광고,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,명품가마솥소머리국밥,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,국밥서구 풍암동,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,리뷰 282,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 190m,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,우성오리탕,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,오리요리서구 풍암동,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,리뷰 764,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 170m,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,까트르쎄종,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,양식서구 풍암동,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,리뷰 148,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 620m,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,미식가든,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,한식서구 풍암동,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,리뷰 455,,,,
